State_Name,Assembly_No,Sequence_No,Name,start_date,end_date,days_in_off,delay_apt,Administrative_rule,MLC,Caretaker_CM,Constituency_No,Poll_No,Position,pid,Party,No_Terms,Turncoat,Incumbent,Recontest
Gujarat,12,3,Shri Vijaybhai R. Rupani,7/8/16,,,0,no,no,0,69,1,1,,BJP,11,FALSE,FALSE,TRUE
Haryana,0,1,Shri Bhagwat Dayal Sharma,1/11/66,10/3/67,129,,no,no,0,,,,,,,,,
Haryana,1,1,Shri Bhagwat Dayal Sharma,11/3/67,23/3/67,12,1,no,no,0,,,,,,,,,
Haryana,1,2,Rao Birender Singh,24/3/67,20/11/67,241,1,no,no,0,55,0,1,AEHR307,INC,1,FALSE,FALSE,FALSE
Haryana,NA,1,President's Rule,21/11/67,22/5/68,183,1,yes,no,0,,,,,,,,,
Haryana,2,1,SHRI BANSI LAL,21/5/68,14/3/72,1393,-1,no,no,0,66,0,1,AEHR792,INC,1,FALSE,FALSE,FALSE
Haryana,3,1,SHRI BANSI LAL,14/3/72,30/11/75,1356,0,no,no,0,66,0,1,AEHR792,INC,2,FALSE,TRUE,TRUE
Haryana,3,2,Shri Banarsi Das Gupta,1/12/75,30/4/77,516,1,no,no,0,67,0,1,AEHR799,INC,2,FALSE,TRUE,TRUE
Haryana,NA,2,President's Rule,30/4/77,21/6/77,52,0,yes,no,0,,,,,,,,,
Haryana,4,1,Chaudhary Devi Lal,21/6/77,28/6/79,737,0,no,no,0,73,0,1,AEHR1791,JNP,1,FALSE,FALSE,FALSE
Haryana,4,2,Shri Bhajan Lal,28/6/79,23/5/82,1060,0,no,no,0,79,0,1,AEHR828,JNP,3,TRUE,TRUE,TRUE
Haryana,5,1,Shri Bhajan Lal,23/5/82,4/6/86,1473,0,no,no,0,79,0,1,AEHR828,INC,4,TRUE,TRUE,TRUE
Haryana,5,2,SHRI BANSI LAL,5/6/86,20/6/87,380,1,no,no,0,67,1,1,AEHR100316,INC,1,FALSE,FALSE,FALSE
Haryana,6,1,Chaudhary Devi Lal,20/6/87,2/12/89,896,0,no,no,0,31,0,1,AEHR2267,LKD,2,FALSE,FALSE,TRUE
Haryana,6,2,Shri Om Parkash Chautala,2/12/89,22/5/90,171,0,no,no,0,,,,,,,,,
Haryana,6,3,Shri Banarsi Das Gupta,23/5/90,12/7/90,50,1,no,no,0,66,0,1,AEHR3969,LKD,1,FALSE,FALSE,FALSE
Haryana,6,4,Shri Om Parkash Chautala,12/7/90,17/7/90,5,0,no,no,0,,,,,,,,,
Haryana,6,5,Shri Hukam Singh,17/7/90,22/3/91,248,0,no,no,0,64,0,1,AEHR353,LKD,3,FALSE,TRUE,TRUE
Haryana,6,6,Shri Om Parkash Chautala,22/3/91,5/4/91,14,0,no,no,0,33,0,1,AEHR6928,LKD,1,TRUE,FALSE,FALSE
Haryana,NA,3,President's Rule,6/4/91,23/6/91,78,1,yes,no,0,,,,,,,,,
Haryana,7,1,Shri Bhajan Lal,23/6/91,10/5/96,1783,0,no,no,0,79,0,1,AEHR5955,INC,1,FALSE,FALSE,FALSE
Haryana,8,1,SHRI BANSI LAL,11/5/96,21/7/99,1166,1,no,no,0,67,0,1,AEHR792,HVP,4,FALSE,TRUE,TRUE
Haryana,8,2,Shri Om Parkash Chautala,24/7/99,2/3/00,222,3,no,no,0,,,,,,,,,
Haryana,9,1,Shri Om Parkash Chautala,2/3/00,5/3/05,1829,0,no,no,0,45,0,1,AEHR2416,INLD,3,TRUE,TRUE,TRUE
Haryana,10,1,Shri Bhupinder Singh Hooda,5/3/05,25/10/09,1695,0,no,no,0,29,1,1,AEHR2236,INC,2,FALSE,FALSE,TRUE
Haryana,11,1,Shri Bhupinder Singh Hooda,25/10/09,25/10/14,1826,0,no,no,0,61,0,1,AEHR2236,INC,3,FALSE,TRUE,TRUE
Jammu_&_Kashmir,1,1,Bakshi Ghulam Mohammad,20/2/62,12/10/63,599,,no,no,0,,,,,,,,,
Jammu_&_Kashmir,1,2,Khwaja Shamsuddin,12/10/63,29/2/64,140,,no,no,0,,,,,,,,,
